"","Entidad federativa","Municipio","Población total","Población total%","Hombre","Hombre%","Mujer","Mujer%"
"50","13 Hidalgo","036 San Agustín Metzquititlán",9449,0.306502995126898,4582,0.309306396269962,4867,0.30390980241804
"51","13 Hidalgo","052 San Agustín Tlaxiaca",38891,1.26153116557098,18950,1.27921348959314,19941,1.24517472159814
"52","13 Hidalgo","053 San Bartolo Tutotepec",17699,0.574113293549684,8737,0.589788298605556,8962,0.559613653024549
"53","13 Hidalgo","046 San Felipe Orizatlán",38492,1.24858855841089,18728,1.26422745293406,19764,1.23412232072943
"54","13 Hidalgo","054 San Salvador",36796,1.19357436857756,17869,1.20624094171714,18927,1.18185757763843
"55","13 Hidalgo","055 Santiago de Anaya",18329,0.594548989065605,8946,0.60389677455938,9383,0.585902131926952
"56","13 Hidalgo","056 Santiago Tulantepec de Lugo Guerrero",39561,1.2832643655641,18646,1.25869207002394,20915,1.3059941478474
"57","13 Hidalgo","057 Singuilucan",15142,0.491170319844585,7379,0.498116957240517,7763,0.484744564654047
"58","13 Hidalgo","058 Tasquillo",17441,0.565744389671735,8146,0.549893038850963,9295,0.580407152963979
"59","13 Hidalgo","059 Tecozautla",38010,1.23295362946062,18137,1.22433219317946,19873,1.24092860149039
"60","13 Hidalgo","060 Tenango de Doria",17503,0.567755521611397,8395,0.566701701590207,9108,0.568730322667662
"61","13 Hidalgo","061 Tepeapulco",56245,1.8244534830048,26940,1.81857579998096,29305,1.82989043761263
"62","13 Hidalgo","062 Tepehuacán de Guerrero",31235,1.01318880863463,15568,1.05091269688581,15667,0.978293584237403
"63","13 Hidalgo","063 Tepeji del Río de Ocampo",90546,2.93709600981692,44062,2.97439075348037,46484,2.90259775130475
"64","13 Hidalgo","064 Tepetitlán",10830,0.351299337202275,5255,0.354737038934668,5575,0.348119405892865
"65","13 Hidalgo","065 Tetepango",11768,0.381725817192648,5740,0.387476803707896,6028,0.376406058963622
"66","13 Hidalgo","067 Tezontepec de Aldama",55134,1.78841529615053,27089,1.82863399575666,28045,1.75121232973371
"67","13 Hidalgo","068 Tianguistengo",14340,0.465155355076697,7018,0.473747771502094,7322,0.457207226896423
"68","13 Hidalgo","069 Tizayuca",168302,5.45931496304869,82047,5.53855562958568,86255,5.38601602785455
"69","13 Hidalgo","070 Tlahuelilpan",19067,0.618487946669971,9304,0.628063446288897,9763,0.609630450176152
"70","13 Hidalgo","071 Tlahuiltepa",9086,0.294728141996295,4411,0.297763097762288,4675,0.291920757407919
"71","13 Hidalgo","072 Tlanalapa",11113,0.360479181378475,5366,0.362230057264211,5747,0.358859592047766
"72","13 Hidalgo","073 Tlanchinol",37722,1.22361159722477,18477,1.24728378085554,19245,1.20171443343645
"73","13 Hidalgo","074 Tlaxcoapan",28626,0.928559079109172,13906,0.938719935951569,14720,0.919160117442687
"74","13 Hidalgo","075 Tolcayuca",21362,0.692932266049401,10304,0.695568115924419,11058,0.690494061051714
"75","13 Hidalgo","076 Tula de Allende",115107,3.7337961964305,55588,3.7524495756994,59519,3.71654151019506
"76","13 Hidalgo","077 Tulancingo de Bravo",168369,5.46148828304801,79767,5.38464498281669,88602,5.53256961451474
"77","13 Hidalgo","066 Villa de Tezontepec",13032,0.422726958672212,6326,0.427034540114312,6706,0.418742374155615
"78","13 Hidalgo","078 Xochiatipan",18260,0.592310793842433,8843,0.596943793586921,9417,0.588025191980827
"79","13 Hidalgo","079 Xochicoatlán",7015,0.227549847689193,3454,0.233161128921093,3561,0.222359319172106
"80","13 Hidalgo","080 Yahualica",24674,0.800365636761675,12060,0.814106315804396,12614,0.787655279987911
"81","13 Hidalgo","081 Zacualtipán de Ángeles",38155,1.23765708319047,18137,1.22433219317946,20018,1.24998282819074
"82","13 Hidalgo","082 Zapotlán de Juárez",21443,0.695559712615733,10342,0.698133293370569,11101,0.693179107590439
"83","13 Hidalgo","083 Zempoala",57906,1.87833235642059,27906,1.88378531084888,30000,1.87328828283156
"84","13 Hidalgo","084 Zimapán",39927,1.29513653153049,18899,1.27577075144173,21028,1.3130502003794
